give me a recipe,suggest_dish
I don't know what to cook,suggest_dish
i need a recipe suggestion,suggest_dish
i want a recipe,suggest_dish
i want to cook,suggest_dish
i want to cook something,suggest_dish
let's cook,suggest_dish
lets cook something,suggest_dish
what should I cook?,suggest_dish
what should I eat?,suggest_dish
what's a good recipe,suggest_dish
I want to cook one of my favorites,suggest_dish
I want to cook something I've cooked before,suggest_dish
Show me my favorite recipes,suggest_dish
What are my favorite recipes,suggest_dish
What have I cooked before,suggest_dish
What have I cooked in the past,suggest_dish
What can I eat today?,suggest_dish
I do not know what to do,suggest_dish
what could I eat today,suggest_dish
I have no idea what to do today to eat,suggest_dish
I do not feel like thinking about food,suggest_dish
How boring is cooking,suggest_dish
help me I do not know what to prepare for dinner,suggest_dish
Now what do we eat?,suggest_dish
What do I cook today?,suggest_dish
who could cook for tomorrow,suggest_dish
I'm hungry,suggest_dish
I can not think what to prepare today,suggest_dish
I have run out of ideas,suggest_dish
I have run out of recipe ideas,suggest_dish
I want to eat meat,suggest_dish
I want fish today,suggest_dish
I have not eaten vegetables for a long time,suggest_dish
I need to eat healthy,suggest_dish
I'm getting fat, what do you recommend me to eat?,suggest_dish
I do not have time to cook today,suggest_dish
Today I have to go very quickly to work,suggest_dish
What can you offer me?,suggest_dish
Recommend me,suggest_dish
what would you eat today?,suggest_dish
what can you offer me?,suggest_dish
suggest something,suggest_dish
I do not feel like thinking,suggest_dish
I leave today's menu at your choice,suggest_dish
Make sure you look for a recipe,suggest_dish
Look for a recipe,suggest_dish
look for a recipe that I like the most,suggest_dish
